GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",v_CA21_906: Median total income of household in 2020 ($),v_CA21_4237: Total - Private households by tenure,v_CA21_4917: Total - Ethnic or cultural origin for the population in private households,v_CA21_434: Occupied private dwellings by structural type of dwelling data
9150001.00,CT,0001.00,18.9433,11365,3967,3800,11365,145000,3800,11365,3800
9150002.00,CT,0002.00,5.6251,7161,2936,2822,7161,110000,2840,7220,2820
9150003.01,CT,0003.01,26.5199,4896,1752,1677,4896,120000,1670,4790,1675
9150003.02,CT,0003.02,17.1923,3612,1584,1519,3612,108000,1525,3620,1520
9150004.00,CT,0004.00,19.9001,7002,2636,2493,7002,110000,2490,6945,2495
9150005.00,CT,0005.00,1.9499,4201,1651,1589,4201,84000,1575,4220,1590
9150006.00,CT,0006.00,2.3284,5848,2284,2207,5848,88000,2215,5815,2205
9150007.00,CT,0007.00,2.1256,8491,4177,3989,8491,60400,3990,8315,3990
9150008.00,CT,0008.00,10.1971,7983,4361,4125,7983,62000,4125,7535,4125
9150009.01,CT,0009.01,0.8641,3546,2047,1976,3546,57600,2040,3540,1975
9150009.02,CT,0009.02,1.4927,5055,2488,2379,5055,69000,2320,4790,2380
9150009.03,CT,0009.03,1.048,3102,1543,1485,3102,59600,1485,2715,1485
9150010.01,CT,0010.01,1.0784,3396,1689,1577,3396,66000,1565,3215,1575
9150010.02,CT,0010.02,2.0265,4387,2585,2256,4387,73000,2240,4285,2255
9150010.03,CT,0010.03,1.3008,3236,1769,1630,3236,75500,1660,3265,1630
9150011.00,CT,0011.00,0.9431,4643,2740,2619,4643,56800,2605,4445,2620
9150012.00,CT,0012.00,1.4553,3750,3123,2155,3750,73000,2040,3375,2155
9150013.00,CT,0013.00,1.0459,1332,703,677,1332,70000,785,1580,675
9150014.00,CT,0014.00,0.9067,4185,2264,2110,4185,69000,2125,3995,2110
9150015.00,CT,0015.00,3.0419,6095,2655,2543,6095,90000,2540,6100,2545
9150016.00,CT,0016.00,2.8991,4293,1699,1571,4293,83000,1555,3960,1570
9150017.00,CT,0017.00,2.5898,5981,2190,2102,5981,92000,2120,5980,2100
9150018.01,CT,0018.01,2.0103,1847,999,937,1847,62000,940,1845,935
9150018.02,CT,0018.02,22.7452,2215,878,836,2215,107000,840,2175,835
9150019.01,CT,0019.01,33.3482,9298,5035,4121,9298,85000,4120,9280,4120
9150019.02,CT,0019.02,1.9744,6240,3197,3065,6240,76000,3045,6235,3065
9150019.03,CT,0019.03,26.5015,7645,3055,2837,7645,135000,2800,7495,2840
9150019.04,CT,0019.04,1.6467,5212,1970,1913,5212,94000,1965,5075,1915
9150102.04,CT,0102.04,6.7576,9134,4937,4587,9134,63600,4585,8895,4585
9150103.00,CT,0103.00,16.0986,5789,2936,2689,5789,81000,2690,5770,2690
9150104.01,CT,0104.01,3.3078,1766,885,751,1766,90000,750,1765,750
9150104.03,CT,0104.03,1173.0978,2897,1852,1290,2897,85000,1290,2875,1290
9150105.02,CT,0105.02,1245.2392,4664,1912,1830,4664,100000,1830,4670,1830
9150105.04,CT,0105.04,25.9516,804,371,309,804,114000,290,780,310
9150105.05,CT,0105.05,15.1165,3140,1377,1231,3140,112000,1275,3340,1230
9150105.06,CT,0105.06,33.9768,2106,919,798,2106,96000,770,2015,800
9150105.07,CT,0105.07,47.1183,9767,4185,3866,9767,95000,3870,9495,3870
9150200.00,CT,0200.00,0.7397,568,283,242,568,119000,250,585,245
9150201.00,CT,0201.00,4.7899,3694,1386,1332,3694,110000,1345,3685,1335
9150202.00,CT,0202.00,6.6628,3627,1739,1492,3627,113000,1445,3545,1490
9150203.00,CT,0203.00,5.016,1473,756,703,1473,86000,695,1465,705
9150204.00,CT,0204.00,1.2202,3354,1749,1667,3354,58400,1630,2975,1665
9150205.00,CT,0205.00,3.9818,1495,616,579,1495,89000,585,1420,580
9150206.00,CT,0206.00,22.7426,6190,2282,2210,6190,104000,2170,6110,2210
9150207.00,CT,0207.00,6.9509,2208,800,772,2208,119000,770,2205,775
9150208.00,CT,0208.00,6.5588,6148,2397,2332,6148,107000,2370,6405,2330
9150209.00,CT,0209.00,1.0432,1188,477,469,1188,79500,495,1245,470
9150210.00,CT,0210.00,2.6528,150,24,21,150,,30,55,20
9150211.00,CT,0211.00,1.2076,198,132,125,198,,130,235,125
9150212.00,CT,0212.00,6.7541,5562,2015,1951,5562,123000,1970,5600,1950
9150213.00,CT,0213.00,7.241,223,88,78,223,,80,215,75
9150214.00,CT,0214.00,44.5273,0,2,1,0,,,,
9250001.00,CT,0001.00,21.5587,1522,578,571,1522,108000,590,1470,575
9250002.00,CT,0002.00,3.1215,2551,1029,998,2551,108000,1020,2645,995
9250003.00,CT,0003.00,14.9408,2539,928,911,2539,114000,865,2440,910
9250004.00,CT,0004.00,65.619,9287,3751,3601,9287,109000,3600,9235,3600
9250005.01,CT,0005.01,2.5858,5907,2640,2542,5907,83000,2575,5790,2540
9250005.02,CT,0005.02,1.4452,3396,1222,1205,3396,123000,1170,3385,1205
9250006.01,CT,0006.01,41.3537,7489,2817,2737,7489,120000,2755,7580,2740
9250006.02,CT,0006.02,2.1599,4743,1939,1885,4743,100000,1870,4290,1885
9250007.00,CT,0007.00,30.806,3021,1318,1204,3021,87000,1145,2565,1205
9250008.00,CT,0008.00,1.6563,3054,1430,1340,3054,83000,1370,3085,1340
9250009.00,CT,0009.00,2.0213,3504,1639,1585,3504,71000,1615,3435,1585
9250010.00,CT,0010.00,1.9633,4944,2707,2543,4944,68000,2520,4935,2545
9250011.00,CT,0011.00,1.6671,2156,1212,1108,2156,50400,1130,1670,1110
9250012.00,CT,0012.00,1.6348,4402,2291,2152,4402,51600,2135,4115,2155
9250013.00,CT,0013.00,1.4014,3800,1603,1517,3800,75500,1545,3635,1520
9250014.00,CT,0014.00,1.0398,3111,1717,1627,3111,52000,1620,3175,1630
9250015.00,CT,0015.00,1.4591,4767,2010,1952,4767,72500,1940,4760,1950
9250016.00,CT,0016.00,1.54,4431,1680,1532,4431,82000,1555,3720,1530
9250017.00,CT,0017.00,2.3259,4685,1828,1796,4685,99000,1785,4580,1795
9250018.00,CT,0018.00,37.6396,6768,2792,2709,6768,94000,2705,6700,2710
9250019.00,CT,0019.00,40.6862,4630,1773,1740,4630,104000,1725,4680,1740
9250020.00,CT,0020.00,2.3397,4754,1758,1721,4754,91000,1735,4215,1725
9250021.01,CT,0021.01,4.2525,1959,729,719,1959,116000,730,1980,720
9250021.02,CT,0021.02,136.7272,3915,1789,1707,3915,90000,1710,3740,1705
9250022.00,CT,0022.00,12.7087,482,228,219,482,81000,215,465,220
9250100.01,CT,0100.01,5.0267,57,20,20,57,,20,55,20
9250100.02,CT,0100.02,13.4068,316,118,117,316,64000,115,315,115
9250100.03,CT,0100.03,1587.409,5502,3437,2346,5502,92000,2345,5455,2345
9250101.00,CT,0101.00,3285.5569,1796,868,759,1796,98000,760,1785,760
9250110.00,CT,0110.00,324.2761,2255,1135,1064,2255,66500,1065,2250,1065
9250200.00,CT,0200.00,3.7528,2399,1249,1175,2399,60400,1175,2380,1175
9300001.00,CT,0001.00,3.45,4105,1400,1370,4105,106000,1375,4190,1370
9300002.02,CT,0002.02,1.5027,3691,1489,1437,3691,87000,1425,3600,1440
9300003.00,CT,0003.00,0.4805,1980,1119,1072,1980,43600,1055,1815,1070
9300004.00,CT,0004.00,0.5536,1764,843,807,1764,60400,790,1835,805
9300005.00,CT,0005.00,0.8845,3537,2170,2072,3537,42800,2025,3065,2075
9300006.00,CT,0006.00,0.8424,2678,1321,1234,2678,52000,1180,2315,1235
9300007.00,CT,0007.00,2.1727,4841,1994,1903,4841,76000,1970,5230,1900
9300008.00,CT,0008.00,3.3552,4509,1836,1772,4509,81000,1780,4620,1775
9300009.00,CT,0009.00,2.243,602,285,256,602,44000,250,375,255
9300010.00,CT,0010.00,0.5759,2629,1184,1114,2629,65000,1115,2405,1115
9300011.01,CT,0011.01,0.7164,295,197,192,295,42000,190,295,190
9300011.02,CT,0011.02,1.6766,4068,1528,1479,4068,80000,1545,4000,1480
9300012.01,CT,0012.01,1.1607,245,65,65,245,,65,245,65
